,day,LCLid,energy_sum
79,12/30/2012,MAC000002,11.112
80,12/31/2012,MAC000002,10.033
81,1/1/2013,MAC000002,10.8
82,1/2/2013,MAC000002,13.2999999
83,1/3/2013,MAC000002,10.074
84,1/4/2013,MAC000002,9.857
85,1/5/2013,MAC000002,11.171
86,1/6/2013,MAC000002,10.293
87,1/7/2013,MAC000002,9.439
88,1/8/2013,MAC000002,11.6400001
89,1/9/2013,MAC000002,15.259
90,1/10/2013,MAC000002,10.74
91,1/11/2013,MAC000002,10.9789999
92,1/12/2013,MAC000002,10.5859999
93,1/13/2013,MAC000002,10.36
94,1/14/2013,MAC000002,12.273
95,1/15/2013,MAC000002,9.83
96,1/16/2013,MAC000002,14.4080001
97,1/17/2013,MAC000002,9.857
98,1/18/2013,MAC000002,16.9220001
99,1/19/2013,MAC000002,15.742
100,1/20/2013,MAC000002,11.53
101,1/21/2013,MAC000002,12.4560001
102,1/22/2013,MAC000002,10.8700001
103,1/23/2013,MAC000002,10.99
104,1/24/2013,MAC000002,12.124
105,1/25/2013,MAC000002,11.26
106,1/26/2013,MAC000002,16.348
107,1/27/2013,MAC000002,11.466
108,1/28/2013,MAC000002,9.907
109,1/29/2013,MAC000002,9.886
110,1/30/2013,MAC000002,10.297
111,1/31/2013,MAC000002,9.2079999
112,2/1/2013,MAC000002,9.9529999
113,2/2/2013,MAC000002,15.097
114,2/3/2013,MAC000002,11.29
115,2/4/2013,MAC000002,8.798
116,2/5/2013,MAC000002,14.1459999
117,2/6/2013,MAC000002,14.222
118,2/7/2013,MAC000002,11.684
119,2/8/2013,MAC000002,9.635
120,2/9/2013,MAC000002,14.7460001
121,2/10/2013,MAC000002,15.871
122,2/11/2013,MAC000002,11.514
123,2/12/2013,MAC000002,10.958
124,2/13/2013,MAC000002,11.151
125,2/14/2013,MAC000002,10.042
126,2/15/2013,MAC000002,11.33
127,2/16/2013,MAC000002,10.807
128,2/17/2013,MAC000002,9.221
129,2/18/2013,MAC000002,9.563
130,2/19/2013,MAC000002,11.293
131,2/20/2013,MAC000002,10.941
132,2/21/2013,MAC000002,20.6960001
133,2/22/2013,MAC000002,24.0180002
134,2/23/2013,MAC000002,14.125
135,2/24/2013,MAC000002,19.751
136,2/25/2013,MAC000002,11.198
137,2/26/2013,MAC000002,11.1749999
138,2/27/2013,MAC000002,15.769
139,2/28/2013,MAC000002,32.6280002
140,3/1/2013,MAC000002,39.284
141,3/2/2013,MAC000002,26.292
142,3/3/2013,MAC000002,23.5800001
143,3/4/2013,MAC000002,25.4469999
144,3/5/2013,MAC000002,32.8559999
145,3/6/2013,MAC000002,16.637
146,3/7/2013,MAC000002,27.7180001
147,3/8/2013,MAC000002,18.876
148,3/9/2013,MAC000002,10.858
149,3/10/2013,MAC000002,19.191
150,3/11/2013,MAC000002,13.658
151,3/12/2013,MAC000002,16.135
152,3/13/2013,MAC000002,12.956
153,3/14/2013,MAC000002,12.286
154,3/15/2013,MAC000002,13.165
155,3/16/2013,MAC000002,12.652
156,3/17/2013,MAC000002,17.3830001
157,3/18/2013,MAC000002,13.2949998
158,3/19/2013,MAC000002,12.519
159,3/20/2013,MAC000002,14.014
160,3/21/2013,MAC000002,10.727
161,3/22/2013,MAC000002,13.524
162,3/23/2013,MAC000002,25.599
163,3/24/2013,MAC000002,15.535
164,3/25/2013,MAC000002,5.781
165,3/26/2013,MAC000002,4.985
166,3/27/2013,MAC000002,5.097
167,3/28/2013,MAC000002,4.929
168,3/29/2013,MAC000002,4.841
169,3/30/2013,MAC000002,4.931
170,3/31/2013,MAC000002,4.933
171,4/1/2013,MAC000002,4.95
172,4/2/2013,MAC000002,12.014
173,4/3/2013,MAC000002,11.421
174,4/4/2013,MAC000002,16.502
175,4/5/2013,MAC000002,14.555
176,4/6/2013,MAC000002,16.6790001
177,4/7/2013,MAC000002,13.424
178,4/8/2013,MAC000002,14.1380002
179,4/9/2013,MAC000002,13.627
180,4/10/2013,MAC000002,13.9340001
181,4/11/2013,MAC000002,13.214
182,4/12/2013,MAC000002,12.563
183,4/13/2013,MAC000002,25.958
184,4/14/2013,MAC000002,12.6310001
185,4/15/2013,MAC000002,13.937
186,4/16/2013,MAC000002,10.94
187,4/17/2013,MAC000002,9.049
188,4/18/2013,MAC000002,10.346
189,4/19/2013,MAC000002,10.303
190,4/20/2013,MAC000002,17.925
191,4/21/2013,MAC000002,13.58
192,4/22/2013,MAC000002,8.969
193,4/23/2013,MAC000002,8.225
194,4/24/2013,MAC000002,8.539
195,4/25/2013,MAC000002,9.481
196,4/26/2013,MAC000002,9.984
197,4/27/2013,MAC000002,9.625
198,4/28/2013,MAC000002,9.864
199,4/29/2013,MAC000002,7.571
200,4/30/2013,MAC000002,8.64
201,5/1/2013,MAC000002,8.069
202,5/2/2013,MAC000002,9.343
203,5/3/2013,MAC000002,8.1089999
204,5/4/2013,MAC000002,9.351
205,5/5/2013,MAC000002,8.826
206,5/6/2013,MAC000002,7.418
207,5/7/2013,MAC000002,7.607
208,5/8/2013,MAC000002,8.576
209,5/9/2013,MAC000002,8.391
210,5/10/2013,MAC000002,12.3040001
211,5/11/2013,MAC000002,10.111
212,5/12/2013,MAC000002,12.405
213,5/13/2013,MAC000002,8.2400001
214,5/14/2013,MAC000002,9.752
215,5/15/2013,MAC000002,8.34
216,5/16/2013,MAC000002,9.214
217,5/17/2013,MAC000002,9.638
218,5/18/2013,MAC000002,9.714
219,5/19/2013,MAC000002,10.747
220,5/20/2013,MAC000002,9.356
221,5/21/2013,MAC000002,10.899
222,5/22/2013,MAC000002,10.492
223,5/23/2013,MAC000002,9.423
224,5/24/2013,MAC000002,10.342
225,5/25/2013,MAC000002,9.339
226,5/26/2013,MAC000002,11.917
227,5/27/2013,MAC000002,11.161
228,5/28/2013,MAC000002,12.182
229,5/29/2013,MAC000002,11.099
230,5/30/2013,MAC000002,11.431
231,5/31/2013,MAC000002,10.098
232,6/1/2013,MAC000002,12.555
233,6/2/2013,MAC000002,12.082
234,6/3/2013,MAC000002,10.694
235,6/4/2013,MAC000002,11.065
236,6/5/2013,MAC000002,9.62
237,6/6/2013,MAC000002,9.343
238,6/7/2013,MAC000002,11.9
239,6/8/2013,MAC000002,9.598
240,6/9/2013,MAC000002,9.234
241,6/10/2013,MAC000002,8.24
242,6/11/2013,MAC000002,9.321
243,6/12/2013,MAC000002,9.375
244,6/13/2013,MAC000002,8.629
245,6/14/2013,MAC000002,8.761
246,6/15/2013,MAC000002,13.881
247,6/16/2013,MAC000002,11.62
248,6/17/2013,MAC000002,12.253
249,6/18/2013,MAC000002,10.138
250,6/19/2013,MAC000002,11.27
251,6/20/2013,MAC000002,8.717
252,6/21/2013,MAC000002,10.748
253,6/22/2013,MAC000002,8.182
254,6/23/2013,MAC000002,11.157
255,6/24/2013,MAC000002,7.651
256,6/25/2013,MAC000002,9.404
257,6/26/2013,MAC000002,8.857
258,6/27/2013,MAC000002,8.69
259,6/28/2013,MAC000002,10.441
260,6/29/2013,MAC000002,8.911
261,6/30/2013,MAC000002,7.594
262,7/1/2013,MAC000002,7.806
263,7/2/2013,MAC000002,8.958
264,7/3/2013,MAC000002,9.4579999
265,7/4/2013,MAC000002,9.37
266,7/5/2013,MAC000002,9.138
267,7/6/2013,MAC000002,9.435
268,7/7/2013,MAC000002,10.61
269,7/8/2013,MAC000002,7.405
270,7/9/2013,MAC000002,5.192
271,7/10/2013,MAC000002,5.368
272,7/11/2013,MAC000002,6.046
273,7/12/2013,MAC000002,4.995
274,7/13/2013,MAC000002,11.581
275,7/14/2013,MAC000002,12.957
276,7/15/2013,MAC000002,7.356
277,7/16/2013,MAC000002,10.737
278,7/17/2013,MAC000002,9.367
279,7/18/2013,MAC000002,11.62
280,7/19/2013,MAC000002,8.511
281,7/20/2013,MAC000002,9.344
282,7/21/2013,MAC000002,8.922
283,7/22/2013,MAC000002,8.216
284,7/23/2013,MAC000002,9.527
285,7/24/2013,MAC000002,8.265
286,7/25/2013,MAC000002,9.717
287,7/26/2013,MAC000002,10.146
288,7/27/2013,MAC000002,8.831
289,7/28/2013,MAC000002,8.154
290,7/29/2013,MAC000002,6.781
291,7/30/2013,MAC000002,8.843
292,7/31/2013,MAC000002,8.495
293,8/1/2013,MAC000002,7.92
294,8/2/2013,MAC000002,8.847
295,8/3/2013,MAC000002,7.746
296,8/4/2013,MAC000002,9.085
297,8/5/2013,MAC000002,9.564
298,8/6/2013,MAC000002,8.745
299,8/7/2013,MAC000002,8.784
300,8/8/2013,MAC000002,8.303
301,8/9/2013,MAC000002,9.381
302,8/10/2013,MAC000002,8.562
303,8/11/2013,MAC000002,8.567
304,8/12/2013,MAC000002,8.021
305,8/13/2013,MAC000002,7.709
306,8/14/2013,MAC000002,9.252
307,8/15/2013,MAC000002,10.0679999
308,8/16/2013,MAC000002,9.098
309,8/17/2013,MAC000002,8.702
310,8/18/2013,MAC000002,8.464
311,8/19/2013,MAC000002,8.498
312,8/20/2013,MAC000002,8.225
313,8/21/2013,MAC000002,9.566
314,8/22/2013,MAC000002,8.019
315,8/23/2013,MAC000002,8.18
316,8/24/2013,MAC000002,8.955
317,8/25/2013,MAC000002,8.91
318,8/26/2013,MAC000002,7.899
319,8/27/2013,MAC000002,10.4
320,8/28/2013,MAC000002,7.937
321,8/29/2013,MAC000002,9.9
322,8/30/2013,MAC000002,8.046
323,8/31/2013,MAC000002,8.538
324,9/1/2013,MAC000002,8.052
325,9/2/2013,MAC000002,9.104
326,9/3/2013,MAC000002,5.722
327,9/4/2013,MAC000002,5.071
328,9/5/2013,MAC000002,5.053
329,9/6/2013,MAC000002,5.04
330,9/7/2013,MAC000002,4.783
331,9/8/2013,MAC000002,4.713
332,9/9/2013,MAC000002,4.57
333,9/10/2013,MAC000002,4.548
334,9/11/2013,MAC000002,4.995
335,9/12/2013,MAC000002,10.985
336,9/13/2013,MAC000002,12.525
337,9/14/2013,MAC000002,13.236
338,9/15/2013,MAC000002,11.626
339,9/16/2013,MAC000002,12.1569999
340,9/17/2013,MAC000002,13.629
341,9/18/2013,MAC000002,14.6100001
342,9/19/2013,MAC000002,21.969
343,9/20/2013,MAC000002,19.5629999
344,9/21/2013,MAC000002,16.2360001
345,9/22/2013,MAC000002,12.8470001
346,9/23/2013,MAC000002,12.034
347,9/24/2013,MAC000002,13.234
348,9/25/2013,MAC000002,9.384
349,9/26/2013,MAC000002,11.15
350,9/27/2013,MAC000002,8.993
351,9/28/2013,MAC000002,12.718
352,9/29/2013,MAC000002,14.694
353,9/30/2013,MAC000002,18.271
354,10/1/2013,MAC000002,20.042
355,10/2/2013,MAC000002,9.379
356,10/3/2013,MAC000002,8.072
357,10/4/2013,MAC000002,8.7069999
358,10/5/2013,MAC000002,8.687
359,10/6/2013,MAC000002,8.628
360,10/7/2013,MAC000002,9.695
361,10/8/2013,MAC000002,10.365
362,10/9/2013,MAC000002,10.074
363,10/10/2013,MAC000002,11.084
364,10/11/2013,MAC000002,11.654
365,10/12/2013,MAC000002,5.909
366,10/13/2013,MAC000002,14.1359999
367,10/14/2013,MAC000002,10.46
368,10/15/2013,MAC000002,20.3719998
369,10/16/2013,MAC000002,22.108
370,10/17/2013,MAC000002,16.0869999
371,10/18/2013,MAC000002,16.662
372,10/19/2013,MAC000002,13.422
373,10/20/2013,MAC000002,18.6009999
374,10/21/2013,MAC000002,12.294
375,10/22/2013,MAC000002,11.088
376,10/23/2013,MAC000002,9.155
377,10/24/2013,MAC000002,9.258
378,10/25/2013,MAC000002,13.6860001
379,10/26/2013,MAC000002,11.677
380,10/27/2013,MAC000002,10.011
381,10/28/2013,MAC000002,15.1800002
382,10/29/2013,MAC000002,11.762
383,10/30/2013,MAC000002,10.397
384,10/31/2013,MAC000002,9.519
385,11/1/2013,MAC000002,9.384
386,11/2/2013,MAC000002,13.3119999
387,11/3/2013,MAC000002,16.2
388,11/4/2013,MAC000002,9.736
389,11/5/2013,MAC000002,21.503
390,11/6/2013,MAC000002,11.627
391,11/7/2013,MAC000002,11.834
392,11/8/2013,MAC000002,26.19
393,11/9/2013,MAC000002,12.202
394,11/10/2013,MAC000002,25.556
395,11/11/2013,MAC000002,28.6589998
396,11/12/2013,MAC000002,18.2590001
397,11/13/2013,MAC000002,12.27
398,11/14/2013,MAC000002,12.202
399,11/15/2013,MAC000002,13.78
400,11/16/2013,MAC000002,9.943
401,11/17/2013,MAC000002,9.094
402,11/18/2013,MAC000002,10.364
403,11/19/2013,MAC000002,11.045
404,11/20/2013,MAC000002,16.814
405,11/21/2013,MAC000002,11.7300001
406,11/22/2013,MAC000002,11.528
407,11/23/2013,MAC000002,11.214
408,11/24/2013,MAC000002,14.341
409,11/25/2013,MAC000002,9.56
410,11/26/2013,MAC000002,10.631
411,11/27/2013,MAC000002,11.003
412,11/28/2013,MAC000002,10.513
413,11/29/2013,MAC000002,11.51
414,11/30/2013,MAC000002,7.858
415,12/1/2013,MAC000002,12.918
416,12/2/2013,MAC000002,9.061
417,12/3/2013,MAC000002,14.6409999
418,12/4/2013,MAC000002,17.015
419,12/5/2013,MAC000002,10.495
420,12/6/2013,MAC000002,14.649
421,12/7/2013,MAC000002,11.7599999
422,12/8/2013,MAC000002,18.28
423,12/9/2013,MAC000002,11.522
424,12/10/2013,MAC000002,12.882
425,12/11/2013,MAC000002,12.935
426,12/12/2013,MAC000002,12.897
427,12/13/2013,MAC000002,12.486
428,12/14/2013,MAC000002,11.4320001
429,12/15/2013,MAC000002,12.214
430,12/16/2013,MAC000002,12.406
431,12/17/2013,MAC000002,18.4770001
432,12/18/2013,MAC000002,14.436
433,12/19/2013,MAC000002,12.0730001
434,12/20/2013,MAC000002,13.171
435,12/21/2013,MAC000002,11.247
436,12/22/2013,MAC000002,12.025
437,12/23/2013,MAC000002,6.721
438,12/24/2013,MAC000002,4.781
439,12/25/2013,MAC000002,4.65
440,12/26/2013,MAC000002,4.706
441,12/27/2013,MAC000002,9.122
442,12/28/2013,MAC000002,13.6579999
443,12/29/2013,MAC000002,14.982
444,12/30/2013,MAC000002,15.082
445,12/31/2013,MAC000002,13.746
446,1/1/2014,MAC000002,15.496
447,1/2/2014,MAC000002,14.195
448,1/3/2014,MAC000002,11.382
449,1/4/2014,MAC000002,16.1759999
450,1/5/2014,MAC000002,14.418
451,1/6/2014,MAC000002,14.302
452,1/7/2014,MAC000002,16.492
453,1/8/2014,MAC000002,13.079
454,1/9/2014,MAC000002,14.5769999
455,1/10/2014,MAC000002,14.9639999
456,1/11/2014,MAC000002,14.466
457,1/12/2014,MAC000002,16.034
458,1/13/2014,MAC000002,18.2660001
459,1/14/2014,MAC000002,18.532
460,1/15/2014,MAC000002,19.011
461,1/16/2014,MAC000002,15.802
462,1/17/2014,MAC000002,14.894
463,1/18/2014,MAC000002,12.371
464,1/19/2014,MAC000002,14.8
465,1/20/2014,MAC000002,12.486
466,1/21/2014,MAC000002,16.025
467,1/22/2014,MAC000002,14.1159999
468,1/23/2014,MAC000002,12.585
469,1/24/2014,MAC000002,14.54
470,1/25/2014,MAC000002,14.039
471,1/26/2014,MAC000002,24.04
472,1/27/2014,MAC000002,22.6290001
473,1/28/2014,MAC000002,13.921
474,1/29/2014,MAC000002,20.3039999
475,1/30/2014,MAC000002,14.166
476,1/31/2014,MAC000002,21.5740001
477,2/1/2014,MAC000002,11.425
478,2/2/2014,MAC000002,27.2720002
479,2/3/2014,MAC000002,17.468
480,2/4/2014,MAC000002,24.363
481,2/5/2014,MAC000002,17.018
482,2/6/2014,MAC000002,13.3520001
483,2/7/2014,MAC000002,16.663
484,2/8/2014,MAC000002,17.172
485,2/9/2014,MAC000002,12.657
486,2/10/2014,MAC000002,10.846
487,2/11/2014,MAC000002,15.586
488,2/12/2014,MAC000002,13.812
489,2/13/2014,MAC000002,11.723
490,2/14/2014,MAC000002,13.497
491,2/15/2014,MAC000002,12.57
492,2/16/2014,MAC000002,21.94
493,2/17/2014,MAC000002,12.917
494,2/18/2014,MAC000002,17.0660001
495,2/19/2014,MAC000002,14.997
496,2/20/2014,MAC000002,11.876
497,2/21/2014,MAC000002,13.083
498,2/22/2014,MAC000002,12.734
499,2/23/2014,MAC000002,14.886
500,2/24/2014,MAC000002,12.528
501,2/25/2014,MAC000002,11.826
502,2/26/2014,MAC000002,12.328
503,2/27/2014,MAC000002,20.518
504,2/28/2014,MAC000002,1.387
505,12/3/2011,MAC000246,9.007
506,12/4/2011,MAC000246,20.7630002
507,12/5/2011,MAC000246,6.02
508,12/6/2011,MAC000246,13.3220001
509,12/7/2011,MAC000246,9.062
510,12/8/2011,MAC000246,13.6639999
511,12/9/2011,MAC000246,11.8160001
512,12/10/2011,MAC000246,16.2579999
513,12/11/2011,MAC000246,10.872
514,12/12/2011,MAC000246,9.8330002
515,12/13/2011,MAC000246,7.819
516,12/14/2011,MAC000246,7.527
517,12/15/2011,MAC000246,13.906
518,12/16/2011,MAC000246,10.609
519,12/17/2011,MAC000246,19.9880001
520,12/18/2011,MAC000246,21.561
521,12/19/2011,MAC000246,5.953
522,12/20/2011,MAC000246,11.97
523,12/21/2011,MAC000246,7.987
524,12/22/2011,MAC000246,9.359
525,12/23/2011,MAC000246,13.102
526,12/24/2011,MAC000246,11.242
527,12/25/2011,MAC000246,3.938
528,12/26/2011,MAC000246,19.0720001
529,12/27/2011,MAC000246,6.876
530,12/28/2011,MAC000246,8.534
531,12/29/2011,MAC000246,13.29
532,12/30/2011,MAC000246,16.909
533,12/31/2011,MAC000246,18.3269999
534,1/1/2012,MAC000246,22.5559999
535,1/2/2012,MAC000246,10.245
536,1/3/2012,MAC000246,10.098
537,1/4/2012,MAC000246,6.672
538,1/5/2012,MAC000246,12.392
539,1/6/2012,MAC000246,9.685
540,1/7/2012,MAC000246,12.853
541,1/8/2012,MAC000246,10.297
542,1/9/2012,MAC000246,10.008
543,1/10/2012,MAC000246,10.526
544,1/11/2012,MAC000246,8.808
545,1/12/2012,MAC000246,11.813
546,1/13/2012,MAC000246,9.462
547,1/14/2012,MAC000246,22.4519999
548,1/15/2012,MAC000246,16.5489999
549,1/16/2012,MAC000246,6.857
550,1/17/2012,MAC000246,14.651
551,1/18/2012,MAC000246,4.487
552,1/19/2012,MAC000246,13.5629999
553,1/20/2012,MAC000246,8.927
554,1/21/2012,MAC000246,29.241
555,1/22/2012,MAC000246,19.065
556,1/23/2012,MAC000246,13.686
557,1/24/2012,MAC000246,8.5419999
558,1/25/2012,MAC000246,11.534
559,1/26/2012,MAC000246,13.3169999
560,1/27/2012,MAC000246,8.894
561,1/28/2012,MAC000246,16.5719998
562,1/29/2012,MAC000246,20.1030001
563,1/30/2012,MAC000246,5.294
564,1/31/2012,MAC000246,14.572
565,2/1/2012,MAC000246,9.949
566,2/2/2012,MAC000246,12.496
567,2/3/2012,MAC000246,11.762
568,2/4/2012,MAC000246,15.178
569,2/5/2012,MAC000246,15.3400001
570,2/6/2012,MAC000246,7.931
571,2/7/2012,MAC000246,8.042
572,2/8/2012,MAC000246,14.8830001
573,2/9/2012,MAC000246,13.058
574,2/10/2012,MAC000246,9.44
575,2/11/2012,MAC000246,18.0999999
576,2/12/2012,MAC000246,21.128
577,2/13/2012,MAC000246,8.956
578,2/14/2012,MAC000246,10.398
579,2/15/2012,MAC000246,11.7099999
580,2/16/2012,MAC000246,11.549
581,2/17/2012,MAC000246,9.369
582,2/18/2012,MAC000246,10.247
583,2/19/2012,MAC000246,12.169
584,2/20/2012,MAC000246,15.2309999
585,2/21/2012,MAC000246,10.338
586,2/22/2012,MAC000246,8.517
587,2/23/2012,MAC000246,11.847
588,2/24/2012,MAC000246,6.77
589,2/25/2012,MAC000246,19.766
590,2/26/2012,MAC000246,19.936
591,2/27/2012,MAC000246,7.339
592,2/28/2012,MAC000246,11.453
593,2/29/2012,MAC000246,9.1010001
594,3/1/2012,MAC000246,10.019
595,3/2/2012,MAC000246,10.236
596,3/3/2012,MAC000246,12.307
597,3/4/2012,MAC000246,11.759
598,3/5/2012,MAC000246,8.897
599,3/6/2012,MAC000246,12.049
600,3/7/2012,MAC000246,9.587
601,3/8/2012,MAC000246,14.9459999
602,3/9/2012,MAC000246,5.205
603,3/10/2012,MAC000246,14.529
604,3/11/2012,MAC000246,18.394
605,3/12/2012,MAC000246,9.443
606,3/13/2012,MAC000246,7.009
607,3/14/2012,MAC000246,13.094
608,3/15/2012,MAC000246,9.28
609,3/16/2012,MAC000246,8.104
610,3/17/2012,MAC000246,9.876
611,3/18/2012,MAC000246,10.517
612,3/19/2012,MAC000246,9.118
613,3/20/2012,MAC000246,5.109
614,3/21/2012,MAC000246,10.567
615,3/22/2012,MAC000246,17.345
616,3/23/2012,MAC000246,12.8470001
617,3/24/2012,MAC000246,15.649
618,3/25/2012,MAC000246,14.369
619,3/26/2012,MAC000246,8.171
620,3/27/2012,MAC000246,9.299
621,3/28/2012,MAC000246,7.755
622,3/29/2012,MAC000246,9.218
623,3/30/2012,MAC000246,9.402
624,3/31/2012,MAC000246,7.834
625,4/1/2012,MAC000246,13.0249999
626,4/2/2012,MAC000246,5.839
627,4/3/2012,MAC000246,14.488
628,4/4/2012,MAC000246,14.9260001
629,4/5/2012,MAC000246,10.7869999
630,4/6/2012,MAC000246,6.752
631,4/7/2012,MAC000246,21.0050001
632,4/8/2012,MAC000246,16.752
633,4/9/2012,MAC000246,7.356
634,4/10/2012,MAC000246,8.978
635,4/11/2012,MAC000246,9.165
636,4/12/2012,MAC000246,9.963
637,4/13/2012,MAC000246,11.8710001
638,4/14/2012,MAC000246,8.134
639,4/15/2012,MAC000246,15.163
640,4/16/2012,MAC000246,12.406
641,4/17/2012,MAC000246,17.8380001
642,4/18/2012,MAC000246,10.468
643,4/19/2012,MAC000246,17.618
644,4/20/2012,MAC000246,11.383
645,4/21/2012,MAC000246,13.234
646,4/22/2012,MAC000246,17.8950001
647,4/23/2012,MAC000246,12.896
648,4/24/2012,MAC000246,17.7110002
649,4/25/2012,MAC000246,9.123
650,4/26/2012,MAC000246,10.484
651,4/27/2012,MAC000246,7.577
652,4/28/2012,MAC000246,17.89
653,4/29/2012,MAC000246,15.727
654,4/30/2012,MAC000246,4.447
655,5/1/2012,MAC000246,13.486
656,5/2/2012,MAC000246,12.579
657,5/3/2012,MAC000246,14.097
658,5/4/2012,MAC000246,6.662
659,5/5/2012,MAC000246,17.322
660,5/6/2012,MAC000246,17.3470001
661,5/7/2012,MAC000246,6.908
662,5/8/2012,MAC000246,12.767
663,5/9/2012,MAC000246,8.321
664,5/10/2012,MAC000246,10.808
665,5/11/2012,MAC000246,4.422
666,5/12/2012,MAC000246,17.5
667,5/13/2012,MAC000246,12.772
668,5/14/2012,MAC000246,10.3
669,5/15/2012,MAC000246,7.653
670,5/16/2012,MAC000246,11.823
671,5/17/2012,MAC000246,8.177
672,5/18/2012,MAC000246,7.483
673,5/19/2012,MAC000246,16.9799999
674,5/20/2012,MAC000246,15.341
675,5/21/2012,MAC000246,8.573
676,5/22/2012,MAC000246,8.811
677,5/23/2012,MAC000246,4.552
678,5/24/2012,MAC000246,9.219
679,5/25/2012,MAC000246,4.335
680,5/26/2012,MAC000246,11.274
681,5/27/2012,MAC000246,9.3529999
682,5/28/2012,MAC000246,6.8240001
683,5/29/2012,MAC000246,7.597
684,5/30/2012,MAC000246,7.77
685,5/31/2012,MAC000246,9.216
686,6/1/2012,MAC000246,10.5350001
687,6/2/2012,MAC000246,10.005
688,6/3/2012,MAC000246,19.08
689,6/4/2012,MAC000246,7.046
690,6/5/2012,MAC000246,8.8049999
691,6/6/2012,MAC000246,5.631
692,6/7/2012,MAC000246,10.003
693,6/8/2012,MAC000246,8.508
694,6/9/2012,MAC000246,7.804
695,6/10/2012,MAC000246,12.838
696,6/11/2012,MAC000246,8.6340001
697,6/12/2012,MAC000246,8.804
698,6/13/2012,MAC000246,7.421
699,6/14/2012,MAC000246,8.336
700,6/15/2012,MAC000246,6.674
701,6/16/2012,MAC000246,13.771
702,6/17/2012,MAC000246,14.277
703,6/18/2012,MAC000246,8.385
704,6/19/2012,MAC000246,11.01
705,6/20/2012,MAC000246,9.229
706,6/21/2012,MAC000246,10.18
707,6/22/2012,MAC000246,5.14
708,6/23/2012,MAC000246,18.7409999
709,6/24/2012,MAC000246,8.25
710,6/25/2012,MAC000246,8.227
711,6/26/2012,MAC000246,10.5140001
712,6/27/2012,MAC000246,7.35
713,6/28/2012,MAC000246,8.675
714,6/29/2012,MAC000246,7.89
715,6/30/2012,MAC000246,13.606
716,7/1/2012,MAC000246,19.3859998
717,7/2/2012,MAC000246,8.452
718,7/3/2012,MAC000246,10.195
719,7/4/2012,MAC000246,5.325
720,7/5/2012,MAC000246,21.6390003
721,7/6/2012,MAC000246,15.939
